DRUG_CODE,DESCRIPTION
meg..,METRONIDAZOLE [SKIN]
meg1.,*METRONIDAZOLE gel
meg2.,*METROTOP 0.8% gel 30g
meg3.,METROGEL 0.75% gel 40g
meg4.,*METROTOP 0.8% gel 15g
meg5.,ROZEX 0.75% gel
meg6.,ANABACT 0.75% gel 15g
meg7.,ANABACT 0.75% gel 30g
meg8.,METRONIDAZOLE 0.75% gel
meg9.,*METRONIDAZOLE 0.8% gel
megA.,METRONIDAZOLE 0.75% cream
megB.,ROZEX 0.75% cream 30g
megC.,*METRONIDAZOLE 1% cream
megD.,*NORITATE 1% cream 30g
megE.,*NEUTRATOP 0.75% gel 10g
megF.,*NEUTRATOP 0.75% gel 20g
megG.,ZYOMET 0.75% gel 30g
megH.,*METROTOP 0.8% gel 60g
megI.,ACEA 0.75% gel 40g
megJ.,METROSA 0.75% gel 40g
megK.,METROSA 0.75% gel 30g
megL.,ROSICED 0.75% cream 30g
megu.,METRONIDAZOLE 0.75% gel 30g
megw.,METRONIDAZOLE 0.75% gel 15g
megx.,*METRONIDAZOLE 0.8% gel 15g
megy.,*METRONIDAZOLE 0.8% gel 30g
megz.,METRONIDAZOLE 0.75% gel 40g
m6A..,AZELAIC ACID
m6A1.,SKINOREN cream 30g
m6A2.,AZELAIC ACID 20% cream 30g
m6A3.,AZELAIC ACID 15% gel
m6A4.,FINACEA 15% gel 30g
k8j4.,MIRVASO gel
mv1..,IVERMECTIN
mv11.,SOOLANTRA 10mg/g cream 30g
mv12.,IVERMECTIN 10mg/g cream
