DRUG_CODE,DESCRIPTION
m45Z.,HYDROCORTISONE+CLOTRIMAZOLE 1%/1% cream
me4..,CLOTRIMAZOLE [SKIN]
me41.,CANESTEN 1% cream 20g
me42.,CANESTEN 1% cream 50g
me43.,CANESTEN 1% solution 20mL
me44.,CANESTEN 1% spray 40mL
me45.,CANESTEN 1% powder 30g
me46.,*LOTRIDERM cream 15g
me47.,*CLOTRIMAZOLE 1% cream
me48.,*MASNODERM 1% cream 20g
me49.,CANESTEN AF 1% cream 15g
me4A.,CANESTEN AF 1% powder 30g
me4B.,CANESTEN AF 1% spray 25mL
me4C.,*CANDIDEN 1% cream 20g
me4D.,LOTRIDERM cream 30g
me4E.,*ABTRIM 1% cream 20g
me4F.,CANESTEN AF DUAL ACTION 1% cream 30g
me4w.,CLOTRIMAZOLE 1% cream
me4x.,BETAMETHASONE+CLOTRIMAZOLE 0.05%/1% cream
me4y.,CLOTRIMAZOLE 1% spray
me4z.,CLOTRIMAZOLE 1% powder
mb1u.,NIZORAL 20mg/mL shampoo 100mL
mb1v.,KETOCONAZOLE 20mg/mL shampoo
me6..,KETOCONAZOLE [SKIN]
me61.,NIZORAL 2% cream 30g
me62.,KETOCONAZOLE 2% cream
me63.,DAKTARIN GOLD 2% cream 15g
me7..,MICONAZOLE NITRATE [SKIN]
me71.,MICONAZOLE 2% cream
me72.,DAKTARIN 2% cream 15g
me73.,*DAKTARIN powder 100g
me74.,*DAKTARIN Twin pack
me75.,*DERMONISTAT cream 30g
me76.,DAKTARIN dry powder spray 100g
me77.,DAKTARIN dusting powder 20g
me78.,DAKTARIN 2% cream 30g
me79.,DAKTARIN DUAL ACTION 2% cream 30g
me7A.,*ACORVIO 2% cream 20g
me7B.,*ACORVIO 2% cream 45g
me7C.,ACORVIO PLUS 2%/0.1% cream 20g
me7D.,ACORVIO PLUS 2%/0.1% cream 45g
me7E.,DAKTARIN AKTIV powder spray 100g
me7F.,DAKTARIN AKTIV powder 20g
me7G.,DAKTARIN AKTIV cream 30g
me7H.,DAKTARIN AKTIV cream 15g
me7w.,MICONAZOLE NITRATE+FLUPREDNIDENE ACETATE 2%/0.1% cream
me7x.,MICONAZOLE 2% dusting powder
me7y.,MICONAZOLE 0.16% powder spray
me7z.,*MICONAZOLE 2% twin pack
mb1M.,NIZORAL 20mg/mL shampoo 120mL
mb1P.,NIZORAL 20mg/mL shampoo 60mL
m45X.,HYDROCORTISONE+MICONAZOLE NITRATE 1%/2% ointment
m45Y.,HYDROCORTISONE+MICONAZOLE NITRATE 1%/2% cream
