DRUG_CODE,DESCRIPTION
da3..,FLUVOXAMINE MALEATE
da31.,FAVERIN 50mg tablets
da32.,FLUVOXAMINE MALEATE 50mg tablets
da33.,FAVERIN 100mg tablets
da34.,FLUVOXAMINE MALEATE 100mg tablets
da4..,FLUOXETINE HYDROCHLORIDE
da41.,FLUOXETINE 20mg capsules
da42.,*PROZAC 20mg capsules x30
da43.,FLUOXETINE 20mg/5mL oral liquid
da44.,PROZAC 20mg/5mL oral liquid
da45.,PROZAC 20mg capsules
da46.,FLUOXETINE 60mg capsules
da47.,*PROZAC 60mg capsules
da48.,*FELICIUM 20mg capsules
da49.,OXACTIN 20mg capsules
da4A.,RANFLUTIN 20mg capsules
da4B.,PROZIT 20mg/5mL oral solution
da4C.,PROZEP 20mg/5mL oral solution
da4D.,OLENA 20mg dispersible tablets
da4E.,FLUOXETINE 20mg dispersible tablets
da5..,SERTRALINE HYDROCHLORIDE
da51.,SERTRALINE 50mg tablets
da52.,SERTRALINE 100mg tablets
da53.,LUSTRAL 50mg tablets
da54.,LUSTRAL 100mg tablets
da6..,PAROXETINE HYDROCHLORIDE
da61.,PAROXETINE 20mg tablets
da62.,SEROXAT 20mg tablets x30
da63.,PAROXETINE 30mg tablets
da64.,SEROXAT 30mg tablets x30
da65.,PAROXETINE 10mg/5mL sugar free liquid
da66.,SEROXAT 10mg/5mL sugar free liquid
da67.,PAROXETINE 10mg tablets
da68.,SEROXAT 10mg tablets
da9..,CITALOPRAM
da91.,CITALOPRAM 20mg tablets
da92.,CIPRAMIL 20mg tablets
da93.,CITALOPRAM 10mg tablets
da94.,*CIPRAMIL 10mg tablets
da94.,CIPRAMIL 10mg tablets
da95.,CITALOPRAM 40mg tablets
da96.,*CIPRAMIL 40mg tablets
da96.,CIPRAMIL 40mg tablets
da97.,CIPRAMIL 40mg/mL oral drops 15mL
da98.,*PAXORAN 10mg tablets
da99.,*PAXORAN 20mg tablets
da9A.,*PAXORAN 40mg tablets
da9z.,CITALOPRAM 40mg/mL oral drops
daC..,ESCITALOPRAM
daC1.,ESCITALOPRAM 10mg tablets
daC2.,CIPRALEX 10mg tablets
daC3.,ESCITALOPRAM 20mg tablets
daC4.,CIPRALEX 20mg tablets
daC5.,ESCITALOPRAM 5mg tablets
daC6.,CIPRALEX 5mg tablets
daC7.,ESCITALOPRAM 10mg/mL oral drops
daC8.,*CIPRALEX 10mg/mL oral drops
daC9.,CIPRALEX 20mg/mL oral drops
daCA.,ESCITALOPRAM 20mg/mL oral drops
da8..,NEFAZODONE
da81.,NEFAZODONE HYDROCHLORIDE 100mg tablets
da82.,NEFAZODONE HYDROCHLORIDE 200mg tablets
da83.,*DUTONIN 100mg tablets
da84.,*DUTONIN 200mg tablets
da85.,NEFAZODONE HYDROCHLORIDE 50mg+100mg+200mg initiation tablets pack
da86.,DUTONIN 50mg+100mg+200mg treatment initiation tablets pack
