DRUG_CODE,DESCRIPTION
m4...,TOPICAL CORTICOSTEROIDS
m41..,HYDROCORTISONE CREAMS
m411.,HYDROCORTISONE 1% cream 15g
m412.,HYDROCORTISONE 1% cream 30g
m413.,HYDROCORTISONE 1% cream 50g
m414.,HYDROCORTISONE 1% cream 100g
m415.,HYDROCORTISONE 0.1% cream 30g
m416.,*HYDROCORTISONE 0.125% cream
m417.,HYDROCORTISONE 0.5% cream 15g
m418.,*HYDROCORTISONE 0.5% cream 30g
m419.,*HYDROCORTISONE 0.5% cream 50g
m41A.,HYDROCORTISONE 2.5% cream 15g
m41B.,*HYDROCORTISONE 2.5% cream 30g
m41C.,HYDROCORTISONE 2.5% cream 50g
m41D.,HYDROCORTISONE 1% aqueous cream
m41a.,HYDROCORTISONE 0.5% cream 100g
m41b.,HYDROCORTISONE 2.5% cream
m41c.,*COBADEX 0.5% cream 20g
m41d.,*COBADEX 1% cream 20g
m41e.,DIODERM 0.1% cream 30g
m41f.,*DOME-CORT 0.125% cream
m41g.,*EFCORTELAN 0.5% cream 15g
m41h.,*EFCORTELAN P 1% cream 15g
m41i.,*EFCORTELAN 1% cream 50g
m41j.,*EFCORTELAN 2.5% cream 15g
m41k.,*HYDROCORTISTAB 1% cream 15g
m41l.,*HYDROCORTISYL 1% cream 15g
m41m.,MILDISON LIPOCREAM 1% cream 30g
m41n.,*EFCORTELAN 0.5% cream 30g
m41o.,*EFCORTELAN 1% cream 30g
m41p.,*EFCORTELAN 2.5% cream 30g
m41q.,DERMACORT cream
m41t.,*DAYLEVE 0.1% cream 15g
m41u.,HYDROCORTISONE 0.1% cream
m41v.,ZENOXONE 1% aqueous cream
m41w.,EXE-CORT HYDROCORTISONE 1% cream 15g
m42..,HYDROCORTISONE OINTMENTS
m421.,HYDROCORTISONE 0.5% ointment 15g
m422.,HYDROCORTISONE 1% ointment 15g
m423.,HYDROCORTISONE 1% ointment 30g
m424.,HYDROCORTISONE 1% ointment 100g
m425.,*EFCORTELAN 0.5% ointment 15g
m426.,*EFCORTELAN P 1% ointment 15g
m427.,*EFCORTELAN 1% ointment 50g
m428.,*EFCORTELAN 2.5% ointment 15g
m429.,HYDROCORTISTAB 1% ointment 15g
m42A.,HYDROCORTISONE 2.5% ointment 15g
m42B.,HYDROCORTISONE 2.5% ointment 30g
m42C.,HYDROCORTISONE 2.5% ointment 50g
m42D.,HYDROCORTISONE 1% ointment 50g
m42a.,*HYDROCORTISYL 1% ointment 15g
m42b.,HYDROCORTISONE 2.5% ointment
m42c.,*EFCORTELAN 0.5% ointment 30g
m42d.,*EFCORTELAN 1% ointment 30g
m42e.,*EFCORTELAN 2.5% ointment 30g
m43..,HYDROCORTISONE LOTIONS/DRESSNG
m431.,*HYDROCORTISONE 1% lotion
m432.,*EFCORTELAN 1% lotion 20mL
m433.,*CORTACREAM 1% imp band
m44..,HYDROCORTISONE COMPOUND PREPARATIONS
m441.,ALPHADERM cream 30g
